policy,seed,wind_mag,crash_pct,spin_pct,stable_pct,mean_return
A,0,0.02,0.0,0.0,100.0,481.878
A,0,0.05,12.0,16.0,72.0,442.3467
A,0,0.08,62.0,24.0,14.0,300.1606
A,0,0.12,94.0,6.0,0.0,187.2351
A,0,0.15,99.0,1.0,0.0,146.7665
A,1,0.02,0.0,0.0,100.0,483.0608
A,1,0.05,8.0,6.0,86.0,453.1162
A,1,0.08,52.0,24.0,24.0,324.1427
A,1,0.12,94.0,4.0,2.0,185.5527
A,1,0.15,98.0,1.0,1.0,146.627
A,2,0.02,0.0,0.0,100.0,481.7305
A,2,0.05,5.0,15.0,80.0,439.2599
A,2,0.08,41.0,26.0,33.0,326.0169
A,2,0.12,87.0,9.0,4.0,203.161
A,2,0.15,96.0,4.0,0.0,156.8004
B,0,0.02,0.0,0.0,100.0,483.0167
B,0,0.05,0.0,0.0,100.0,483.0239
B,0,0.08,0.0,0.0,100.0,482.882
B,0,0.12,4.0,10.0,86.0,467.1472
B,0,0.15,19.0,22.0,59.0,424.4742
B,1,0.02,0.0,0.0,100.0,483.8981
B,1,0.05,0.0,0.0,100.0,483.8441
B,1,0.08,0.0,0.0,100.0,483.5801
B,1,0.12,6.0,16.0,78.0,463.2814
B,1,0.15,27.0,28.0,45.0,404.8265
B,2,0.02,0.0,0.0,100.0,483.4604
B,2,0.05,0.0,0.0,100.0,483.2442
B,2,0.08,0.0,0.0,100.0,482.557
B,2,0.12,8.0,17.0,75.0,459.3996
B,2,0.15,37.0,27.0,36.0,385.526
